mes de analisis,A�o,CATEGORIA,CANTIDAD_CLASIF_A,ventas_totales_Veh_livianos,Tasa de inflaci�n (mensual),Poblaci�n Econ�micamente Activa (Nacional),Exportaciones totales (USD),PRODUCTO INTERNO BRUTO (PIB) TRIMESTRAL (MILES DE DOL),Balanza comercial total (millones de usd),Valor Unitario del petroleo Promedio (eje der.),"EXPORTACIONES PETROLERAS (miles de USD)
FOB (der)",Import. CIF MILLONES USD,Exp. no petroleras MILLONES USD,IMPORTACIONES Petroleras,IMPORTACIONES No Petroleras
"junio,2017",A,8954,815,-0.58,8147563.783086,1496303,25993550,-175.39,40.23,458983.70,1757.72,42.09,513,983
"julio,2017",A,10892,830,-0.14,8181048.585546,1578411,25960907,33.62,40.75,468231.19,1625.09,42.10,533,1.045
"agosto,2017",A,12894,907,0.01,8181048.585546,1459047,25960907,-303.01,43.03,466663.01,1855.74,41.84,532,927
"septiembre,2017",A,19543,778,-0.15,8181048.585546,1587944,25960907,-87.50,46.73,545985.46,1760.11,41.85,629,959
"octubre,2017",A,11815,786,-0.14,8086048.088531,1676069,26341144,-71.36,50.44,550540.81,1834.36,41.73,616,1.060
"noviembre,2017",A,11775,1165,-0.27,8086048.088531,1641231,26341144,-159.95,54.61,584322.91,1889.26,41.81,676,965
"diciembre,2017",A,9962,1214,0.18,8086048.088531,1762405,26341144,64.74,56.44,576255.70,1785.70,41.65,643,1.120
"enero,2018",A,20333,1047,0.19,8164425.223236,1806315,26893748,0.46,60.35,709265.20,1898.31,41.54,781,1.025
"febrero,2018",A,15008,994,0.15,8164425.223236,1579454,26893748,49.72,57.57,472813.15,1608.42,41.59,563,1.016
"marzo,2018",A,17804,1083,0.06,8164425.223236,1852865,26893748,177.04,57.01,635270.83,1757.84,41.43,705,1.148
"abril,2018",A,14726,1048,-0.14,7978869.629441,1814985,26767539,7.89,60.32,580098.78,1895.01,41.16,658,1.157
"mayo,2018",A,16427,1192,-0.18,7978869.629441,1951037,26767539,-38.10,63.52,738519.92,2076.98,41.18,813,1.138
"junio,2018",A,17846,1255,-0.27,7978869.629441,1666332,26767539,-46.86,61.90,670705.37,1787.38,41.71,757,909
"julio,2018",A,16499,1087,-0.004,8266443.000009,1909414,27267486,-43.29,67.15,743028.31,2042.02,42.23,847,1.062
"agosto,2018",A,17460,1039,0.27,8266443.000009,1838514,27267486,-127.97,61.16,724081.08,2059.25,42.89,812,1.026
"septiembre,2018",A,17921,983,0.39,8266443.000009,1848042,27267486,12.84,66.29,738710.82,1921.20,42.51,819,1.030
"octubre,2018",A,18221,1073,-0.05,8027129.764654,1967774,27469285,-255.25,68.24,751993.81,2325.49,42.57,841,1.127
"noviembre,2018",A,15846,980,-0.25,8027129.764654,1665509,27469285,-251.27,55.20,581943.36,2015.79,42.47,629,1.037
"diciembre,2018",A,19720,1048,0.10,8027129.764654,1705893,27469285,0.30,46.52,506983.74,1805.35,42.09,576,1.129
