mes de analisis;Año;CATEGORIA;CANTIDAD_CLASIF_A;ventas_totales_Veh_livianos;Tasa de inflación (mensual);Población Económicamente Activa (Nacional);Exportaciones totales (USD);PRODUCTO INTERNO BRUTO (PIB) TRIMESTRAL (MILES DE DOL);Balanza comercial total (millones de usd); Valor Unitario del petroleo Promedio (eje der.) ;EXPORTACIONES PETROLERAS (miles de USD) FOB (der);Import. CIF MILLONES USD;Exp. no petroleras MILLONES USD;IMPORTACIONES Petroleras;IMPORTACIONES No Petroleras
enero;2012;A;20143;727;0,57 ;6.870.842;2.121.575;21.622.937;96,13 ;100;1048794;2025;58,40 ;1380;742
febrero;2012;A;14219;920;0,78 ;6.870.842;2.025.455;21.622.937;239,80 ;100;1171419;1786;58,68 ;1230;796
marzo;2012;A;15809;906;0,90 ;6.870.842;2.058.386;21.622.937;107,00 ;98;1165254;1951;58,49 ;1193;865
abril;2012;A;15995;899;0,16 ;6.870.842;2.069.240;21.908.844;219,32 ;96;987015;1850;58,60 ;1306;764
mayo;2012;A;14974;869;-0,19 ;6.870.842;2.142.419;21.908.844;-51,92 ;96;1050605;2194;58,66 ;1297;845
junio;2012;A;14668;993;0,18 ;6.870.842;1.839.246;21.908.844;-204,77 ;95;1079498;2044;58,84 ;1001;839
julio;2012;A;23133;951;0,26 ;6.701.014;1.872.900;22.106.937;-200,93 ;101;1270303;2071;58,98 ;1002;871
agosto;2012;A;13098;827;0,29 ;6.701.014;1.968.545;22.106.937;-265,54 ;98;1177627;2234;59,14 ;1154;814
septiembre;2012;A;15270;628;1,12 ;6.701.014;2.065.756;22.106.937;53,53 ;97;1238610;2012;59,24 ;1215;850
octubre;2012;A;26104;793;0,09 ;6.701.014;1.788.171;22.285.826;-103,27 ;92;1069332;1880;59,01 ;1020;768
noviembre;2012;A;11180;949;0,14 ;6.701.014;1.761.889;22.285.826;-396,10 ;84;969409;2152;59,17 ;900;862
diciembre;2012;A;16906;809;-0,19 ;6.701.014;2.051.181;22.285.826;66,14 ;90;1183893;1983;59,31 ;1095;957
enero;2013;A;17320;677;0,50 ;6.999.745;1.913.314;23.019.786;-253,99 ;92;1059150;2131;58,96 ;1086;827
febrero;2013;A;13554;583;0,18 ;6.999.745;2.059.672;23.019.786;38,28 ;98;1090015;2017;58,65 ;1211;848
marzo;2013;A;21830;675;0,44 ;6.999.745;2.195.796;23.019.786;98,13 ;97;1264241;2103;58,91 ;1222;973
