Fecha,CATEGORIA,CANTIDAD_CLASIF_A,ventas_totales_Veh_livianos,Tasa de inflacion (mensual),Poblacion Economicamente Activa (Nacional),Exportaciones totales (USD),PRODUCTO INTERNO BRUTO (PIB) TRIMESTRAL (MILES DE DOL),Balanza comercial total (millones de usd),Valor Unitario del petroleo Promedio (eje der.),"EXPORTACIONES PETROLERAS (miles de USD)
FOB (der)",Import. CIF MILLONES USD,Exp. no petroleras MILLONES USD,IMPORTACIONES Petroleras,IMPORTACIONES No Petroleras
"2012-01-01",A,20143,727,0.57,6870841.555393,2121575,21622937,96.13,99.81,1048793.76,2025.45,58.40,1380,742
"2012-02-01",A,14219,920,0.78,6870841.555393,2025455,21622937,239.80,100.09,1171419.44,1785.66,58.68,1230,796
"2012-03-01",A,15809,906,0.90,6870841.555393,2058386,21622937,107.00,97.66,1165254.24,1950.57,58.49,1193,865
"2012-04-01",A,15995,899,0.16,6870841.555393,2069240,21908844,219.32,95.76,987015.21,1849.58,58.60,1306,764
"2012-05-01",A,14974,869,-0.19,6870841.555393,2142419,21908844,-51.92,96.39,1050604.96,2194.31,58.66,1297,845
"2012-06-01",A,14668,993,0.18,6870841.555393,1839246,21908844,-204.77,94.81,1079497.77,2043.73,58.84,1001,839
"2012-07-01",A,23133,951,0.26,6701014.092930,1872900,22106937,-200.93,101.07,1270302.67,2071.15,58.98,1002,871
"2012-08-01",A,13098,827,0.29,6701014.092930,1968545,22106937,-265.54,97.91,1177626.58,2233.87,59.14,1154,814
"2012-09-01",A,15270,628,1.12,6701014.092930,2065756,22106937,53.53,97.36,1238610.43,2012.09,59.24,1215,850
"2012-10-01",A,26104,793,0.09,6701014.092930,1788171,22285826,-103.27,92.18,1069331.52,1880.00,59.01,1020,768
"2012-11-01",A,11180,949,0.14,6701014.092930,1761889,22285826,-396.10,84.37,969409.43,2152.02,59.17,900,862
"2012-12-01",A,16906,809,-0.19,6701014.092930,2051181,22285826,66.14,90.35,1183892.59,1983.14,59.31,1095,957
"2013-01-00",A,17320,677,0.50,6999745.216663,1913314,23019786,-253.99,91.52,1059149.70,2131.45,58.96,1086,827
"2013-02-00",A,13554,583,0.18,6999745.216663,2059672,23019786,38.28,97.95,1090014.54,2016.78,58.65,1211,848
"2013-03-00",A,21830,675,0.44,6999745.216663,2195796,23019786,98.13,96.50,1264241.11,2103.09,58.91,1222,973
