Fecha,CATEGORIA,CANTIDAD_CLASIF_A,ventas_totales_Veh_livianos,Tasa de inflación (mensual),Población Económicamente Activa (Nacional),Exportaciones totales (USD),PRODUCTO INTERNO BRUTO (PIB) TRIMESTRAL (MILES DE DOL),Balanza comercial total (millones de usd),Valor Unitario del petroleo Promedio (eje der.),"EXPORTACIONES PETROLERAS (miles de USD)
FOB (der)",Import. CIF MILLONES USD,Exp. no petroleras MILLONES USD,IMPORTACIONES Petroleras,IMPORTACIONES No Petroleras,Indice de Retención,# de reclamos de los repuestos
2012-01-01,A,20143,727,0.56715220868,6870841.555392873,2121575,21622937,96.12551026999995,99.80972189439979,1048793.7576300001,2025.4498297300001,58.399015957346066,1379.5229199999999,742.0524199999999,0.0,0
2012-02-01,A,14219,920,0.77748701288,6870841.555392873,2025455,21622937,239.79820119000033,100.08933854984545,1171419.43902,1785.65674881,58.67705390362733,1229.7363400000002,795.7186200000001,0.0,0
2012-03-01,A,15809,906,0.90091786141,6870841.555392873,2058386,21622937,107.00366757999973,97.66240621261421,1165254.24259,1950.56666867,58.49320584109247,1192.8890900000001,865.4972800000002,0.0,0
2012-04-01,A,15995,899,0.15799599509,6870841.555392873,2069240,21908844,219.31903361000013,95.76381851574888,987015.2112499999,1849.5840217,58.59911122393575,1305.5714,763.6681,0.0,0
2012-05-01,A,14974,869,-0.19405621263,6870841.555392873,2142419,21908844,-51.918060120000064,96.3929984876876,1050604.95839,2194.3119437300006,58.65568387207672,1297.20029,845.21848,0.0,0
2012-06-01,A,14668,993,0.17509484555,6870841.555392873,1839246,21908844,-204.76628573000016,94.80645916624371,1079497.77146,2043.72508412,58.841215211032605,1000.64474,838.6009299999998,0.0,0
2012-07-01,A,23133,951,0.26122719545,6701014.092929743,1872900,22106937,-200.93244246999984,101.06990226714552,1270302.66996,2071.14698228,58.98252657310419,1002.1769800000001,870.7233399999999,0.0,0
2012-08-01,A,13098,827,0.2886672246,6701014.092929743,1968545,22106937,-265.53960875999996,97.91206050957116,1177626.58445,2233.8741653300003,59.14361020555129,1154.36658,814.17823,0.0,0
2012-09-01,A,15270,628,1.12191385077,6701014.092929743,2065756,22106937,53.5318837100001,97.36238436220336,1238610.4291899998,2012.08744229,59.235384479100006,1215.358660467533,850.39707,0.0,0
2012-10-01,A,26104,793,0.08600764234,6701014.092929743,1788171,22285826,-103.2657671500001,92.18481471466009,1069331.51544,1880.00100518,59.013862409275355,1020.3546399999999,767.81648,0.42123783252874897,0
2012-11-01,A,11180,949,0.13934634384,6701014.092929743,1761889,22285826,-396.10237687099993,84.37441343445957,969409.4265399999,2152.023799271001,59.16575846363252,899.5875,862.3011399999999,0.4170845310149513,0
2012-12-01,A,16906,809,-0.18578186128,6701014.092929743,2051181,22285826,66.1407707860003,90.35421629419011,1183892.59278,1983.142041214001,59.313340487735054,1094.54824,956.6324,0.41112015588626066,0
2013-01-01,A,17320,677,0.502822932,6999745.216662797,1913314,23019786,-253.99498627200023,91.52364339082915,1059149.69712,2131.4530960889997,58.958539101227544,1086.11327653,827.200574548,0.39946448478719376,0
2013-02-01,A,13554,583,0.18469427439,6999745.216662797,2059672,23019786,38.282593888000065,97.95343381493174,1090014.54195,2016.780694932,58.65450440659331,1211.445617215,848.226494797,0.395954345411222,0
2013-03-01,A,21830,675,0.43838447003,6999745.216662797,2195796,23019786,98.12695270099994,96.50011893203255,1264241.1139800001,2103.086600787,58.906120766416535,1222.428204013,973.367505911,0.3918685869227913,0
2013-04-01,A,13812,564,0.17900642811,6999745.216662797,1907087,23441324,-214.61806662399977,97.81222325138295,838186.68528,2137.2004862930003,58.48130437603167,1036.76600231,870.321349501,0.3926891690670001,0
2013-05-01,A,24465,636,-0.21789831013,6999745.216662797,2032751,23441324,-329.33273682399977,95.94139094133557,1494127.3812,2372.438868154,58.53873279549082,1085.04739252,947.7034116540001,0.3932365333173804,0
2013-06-01,A,14970,536,-0.14478986338,6999745.216662797,1975809,23441324,-138.17555358499976,98.90447979467325,1290071.4043299998,2112.843720646,58.615210795114656,1114.30919406,861.499677742,0.39099558600426987,0
2013-07-01,A,14361,608,-0.01866033438,6952985.676018876,2110564,24238576,-48.872820139000396,91.18653554740851,1165224.19552,2159.470913118,58.62818466304199,1340.545743878,770.0180694229999,0.39137493368723186,0
2013-08-01,A,18686,679,0.17359094425,6952985.676018876,2101330,24238576,-223.53408527199963,85.95376993563254,1256989.75118,2322.941111131,58.67681431538411,1263.822396537,837.508075539,0.3918570220517621,0
2013-09-01,A,13578,675,0.56788069985,6952985.676018876,2177917,24238576,84.21833530000004,83.32940105351273,1031364.592,2091.002015456,58.325885506873945,1346.770703342,831.146580492,0.3905234328882673,0
2013-10-01,A,19304,743,0.4082721224,6952985.676018876,2118590,24429973,-225.9474943700002,73.35873162041582,1014850.7101200001,2340.790224636,58.32625707910207,1175.7394717900002,942.850664403,0.39168138454570034,0
2013-11-01,A,17567,728,0.3941886262,6952985.676018876,1986029,24429973,-77.58375669999987,61.58525727439603,906671.9914899999,2053.13959216,58.21062946771063,1039.18749927,946.8415950899999,0.3913542386051628,0
2013-12-01,A,14374,666,0.20349663523,6952985.676018876,2172074,24429973,250.44084523900005,45.373755884966116,605126.2237300001,1922.6650701639999,57.821731773563315,1185.22397831,986.849699812,0.39134625454635824,0
2014-01-01,A,15336,625,0.7217096217,7048410.006065984,2017193,24831492,-109.71902563099866,21.575212860025253,272556.22303,2228.383375739,53.39212902265423,1078.49808882,938.6951126390001,0.39052781908762224,0
2014-02-01,A,26150,614,0.10990358447,7048410.006065984,2173507,24831492,-213.10890832199993,22.06483088288646,231147.92855,1868.5930607129999,52.521212508897705,1147.69279534,1025.813831579,0.38958905142715544,0
2014-03-01,A,22997,561,0.69628210101,7048410.006065984,2464155,24831492,294.98963934000017,28.089298439717034,333373.9060300001,2061.562394484,51.919227600415084,1321.24897114,1142.906433277,0.3863016262679347,0
2014-04-01,A,18806,577,0.29547589806,6967746.931410098,1872826,25543280,387.52058028600004,34.12452660552095,343733.64701,2108.423791334,51.528861812252366,876.9560217300001,995.8698700360001,0.38204157431654895,0
2014-05-01,A,24257,661,-0.04112400393,6967746.931410098,2603522,25543280,-233.39693533599984,37.43019637256698,488465.16835,2316.8224259370004,51.41249861258075,1514.3265476,1089.195785109,0.3785637969692865,0
2014-06-01,A,22113,526,0.10406116208,6967746.931410098,2308447,25543280,286.55759501300054,39.64790508942496,511060.2132,2139.506351304,51.08543419562398,1291.48276226,1016.9641589920001,0.3759393293985283,0
2014-07-01,A,21873,663,0.40336750823,7145197.036719422,2136732,25942914,161.43578628099976,35.20784312487536,495642.69216,2223.896547956,50.701264925701395,1166.71154339,970.020892077,0.3737011243296893,0
2014-08-01,A,18867,669,0.20942574696,7145197.036719422,2290399,25942914,-89.41722922600002,36.866200838742316,421884.97609,2271.555428898,50.41686029868706,1258.3381260800002,1032.060478165,0.36996816807886795,0
2014-09-01,A,21933,885,0.61272423196,7145197.036719422,2098531,25942914,10.723589624999931,38.80747308645777,447351.83663999994,2179.0067236279997,50.2166838304587,1033.54948769,1064.981668352,0.37084365787115275,0
2014-10-01,A,20344,1013,0.20279792172,7194520.96160092,2071104,25408645,-77.99188429200012,40.92582132786977,532295.8308400001,2475.9056852199997,49.99451096533845,1016.84140402,1054.262774286,0.36861201773785873,0
2014-11-01,A,13829,1010,0.18123108489,7194520.96160092,2025707,25408645,-377.55485346600017,38.761003721525825,450955.0854500001,2277.020579336,49.96581350734303,946.7979547,1078.908789045,0.3646899365637554,0
2014-12-01,A,10966,1103,0.11475334285,7194520.96160092,1662309,25408645,-259.4764055339997,44.23121273499856,525468.70083,2270.8073803360003,49.84390754156646,623.4089721,1038.9000219319998,0.35656389649059234,0
2015-01-01,A,6489,363,0.59036547820282,7374083.4768732255,1599294,25052739,-602.7675073620001,21.575212860025253,526949.25126,2086.633780006,49.4023112692269,609.4626193800001,989.831810688,0.3496956608299585,24
2015-02-01,A,8595,270,0.61239066236257,7374083.4768732255,1557098,25052739,-227.32322685500003,22.06483088288646,522082.9096000001,1784.4212511169999,48.93960145315824,522.94773156,1034.1502927020001,0.3490848948471956,25
2015-03-01,A,8827,440,0.41418583758795,7374083.4768732255,1713984,25052739,-202.69752898899992,28.089298439717034,488231.11845000007,1916.681637172,48.71501247329862,615.5045811,1098.479527083,0.35011627591547245,6
2015-04-01,A,5478,322,0.83723951666293,7430700.833323855,1531261,25086195,-301.784643252,34.12452660552095,518023.26704999997,1833.045176028,48.801807851602206,583.5821729500001,947.678359826,0.35001455819392263,12
2015-05-01,A,1661,292,0.17702762316158,7430700.833323855,1767385,25086195,102.90214632300012,37.43019637256698,483553.28121000004,1664.4825948950001,48.44721909333823,783.65956614,983.7251750779999,0.3485643579399989,15
2015-06-01,A,2311,332,0.40754897495299997,7430700.833323855,1635595,25086195,-118.42903523599989,39.64790508942496,458983.70003999997,1754.024314801,48.06010787295814,688.09621268,947.4990668849999,0.349553459241074,17
2015-07-01,A,17976,427,-0.07950186404698,7599717.168920027,1533320,24779738,-194.95736545700015,35.20784312487536,468231.18692,1728.277031407,47.62515688650388,638.9167504000001,894.40291555,0.34885655090280066,17
2015-08-01,A,3629,439,-0.00130890992369,7599717.168920027,1533343,24779738,-4.598758520000047,36.866200838742316,466663.0128,1532.9594122180001,47.44057011065867,564.697224132,968.645841206,0.34734527219626987,12
2015-09-01,A,6332,429,0.26442676249437,7599717.168920027,1371265,24779738,-278.699696422,38.80747308645777,545985.4558,1649.878541899,47.08695746750634,498.60945754,872.655781937,0.3447769699690884,16
2015-10-01,A,4159,401,-0.09048158900518,7498528.038691462,1418720,24371709,-211.35764005500027,40.92582132786977,550540.81404,1630.077349077,46.74892037549155,437.46674329999996,981.252965722,0.3405545659538102,10
2015-11-01,A,3250,329,0.1074092972742,7498528.038691462,1331500,24371709,-142.07004865499994,38.761003721525825,584322.91155,1465.294258034,46.39193323473046,382.60343702,948.896315219,0.33885096445449886,18
2015-12-01,A,6789,263,0.09440524409458,7498528.038691462,1337843,24371709,-63.26583636999999,44.23121273499856,576255.6966700001,1401.022585995,45.97869214751747,334.772958641,1003.0701849840001,0.34617226334666074,18
2016-01-01,A,9737,230,0.30815675794605,7861661.292952668,1157106,24913573,-120.93423719900011,21.575212860025253,272556.22303,1346.553521675,45.4690596455147,291.26112308,865.845223787,0.35309427607186367,7
2016-02-01,A,6695,327,0.13804362152285,7861661.292952668,1185391,24913573,-19.261150472999816,22.06483088288646,231147.92855,1267.4634695339998,45.41135400727201,251.47152149000001,933.919447964,0.3550723328938576,12
2016-03-01,A,6120,305,0.13701561817351,7861661.292952668,1284689,24913573,76.86715714000002,28.089298439717034,333373.9060300001,1265.9984417590001,45.33410059909677,353.480072912,931.2090964519999,0.3575418545859963,3
2016-04-01,A,17505,344,0.30657602211897,7831981.398336001,1263639,24926186,111.84000948899984,34.12452660552095,343733.64701,1209.646340134,44.81267958638963,385.40053958,878.2383590009999,0.3598117422942507,39
2016-05-01,A,5709,453,0.03179955602795,7831981.398336001,1525128,24926186,355.79552635100003,37.43019637256698,488465.16835,1220.1073596709998,44.47885761229578,534.47980021,990.64787225,0.3620444218411346,29
2016-06-01,A,14772,301,0.3588572195641,7831981.398336001,1508770,24926186,291.2017074109999,39.64790508942496,511060.2132,1273.784577315,44.26024557406275,557.456995084,951.312602297,0.36158907552707165,31
2016-07-01,A,14827,303,-0.08520237869182,8057158.895771829,1443551,24910741,268.2710279129999,35.20784312487536,495642.69216,1239.127555747,43.9146487933796,529.30267512,914.2499533600001,0.36444410514922904,15
2016-08-01,A,10968,366,-0.16301708779663,8057158.895771829,1385047,24910741,-64.25255920500013,36.866200838742316,421884.97609,1520.376023944,43.76390452805889,466.7030163,918.34390024,0.3686190894268155,12
2016-09-01,A,18262,226,0.15236894663959,8057158.895771829,1406648,24910741,76.85322473399992,38.80747308645777,447351.83663999994,1401.5979652130002,43.63181669823148,488.497443842,918.150369388,0.37270284504622436,19
2016-10-01,A,8380,432,-0.08224803821649,7874020.877194108,1618429,25187196,225.44636771,40.92582132786977,532295.8308400001,1462.515404907,43.42598717792856,549.279685432,1069.149535343,0.3746944236480492,17
2016-11-01,A,8697,410,-0.1452421175255,7874020.877194108,1431804,25187196,-41.52524172900007,38.761003721525825,450955.0854500001,1544.67040438,43.07583653647381,491.28830291,940.515698781,0.3780384013298794,17
2016-12-01,A,7836,438,0.1587899362463,7874020.877194108,1587463,25187196,86.74180417100001,44.23121273499856,525468.70083,1572.363543849,43.05005099580945,560.5481598800001,1026.91493771,0.37903671445493015,15
2017-01-01,A,9534,421,0.08780247618056,8084382.233744061,1559240,26000261,74.99655524199989,44.764515040777376,526949.25126,1563.3747145169998,43.05390354601553,568.1451779,991.094392425,0.384796232888415,12
2017-02-01,A,8074,360,0.19823973741301,8084382.233744061,1580918,26000261,346.84900814499997,44.33149929165397,522082.9096000001,1297.693105356,42.89216280548524,567.29163473,1013.6263815970001,0.3824254434723766,5
